date,city,supermarket,product,temp,promo,dayofweek,sales,stock,waste,month,is_weekend,sales_lag1,sales_lag7
2025-07-08,Berlin,Edeka,Bakery,5.4,0,1,107.56918843951684,123.70456670544435,16.135378265927514,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Edeka,Dairy,5.4,0,1,73.66685744813233,84.71688606535217,11.050028617219837,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Edeka,Fruits,5.4,1,1,184.94748337972285,212.68960588668128,27.742122506958424,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Edeka,Veg,5.4,0,1,120.87326564720499,139.00425549428573,18.13098984708074,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Rewe,Bakery,6.9,0,1,108.08893977471078,124.30228074091738,16.2133409662066,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Rewe,Dairy,6.9,0,1,88.35335272358368,101.60635563212122,13.253002908537539,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Rewe,Fruits,6.9,0,1,143.64841460840032,165.19567679966036,21.547262191260046,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Rewe,Veg,6.9,0,1,102.08077049188574,117.39288606566859,15.312115573782847,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Lidl,Bakery,0.8,0,1,101.0445741555861,116.20126027892401,15.156686123337906,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Lidl,Dairy,0.8,0,1,68.45677444971028,78.72529061716682,10.26851616745654,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Lidl,Fruits,0.8,0,1,96.85930183042447,111.38819710498814,14.528895274563666,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Lidl,Veg,0.8,1,1,171.81545859902047,197.58777738887352,25.772318789853045,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Aldi,Bakery,5.1,1,1,133.10912324335834,153.07549172986208,19.96636848650374,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Aldi,Dairy,5.1,0,1,83.82402192204819,96.39762521035541,12.573603288307226,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Aldi,Fruits,5.1,0,1,127.99066270423992,147.1892621098759,19.198599405635974,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Aldi,Veg,5.1,0,1,114.13826838764675,131.25900864579376,17.12074025814701,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Kaufland,Bakery,3.8,1,1,131.06897889298955,150.72932572693796,19.66034683394841,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Kaufland,Dairy,3.8,0,1,77.26520959063457,88.85499102922975,11.589781438595182,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Kaufland,Fruits,3.8,0,1,136.20094172278124,156.6310829811984,20.430141258417166,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Kaufland,Veg,3.8,0,1,142.88604309402544,164.31894955812925,21.43290646410381,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Penny,Bakery,7.5,0,1,121.00366901186796,139.15421936364814,18.150550351780183,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Penny,Dairy,7.5,0,1,86.6696440075018,99.67009060862706,13.000446601125262,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Penny,Fruits,7.5,0,1,141.00520791623114,162.1559891036658,21.15078118743466,7,0,107.56918843951684,107.56918843951684
2025-07-08,Berlin,Penny,Veg,7.5,0,1,120.27577723010941,138.3171438146258,18.041366584516396,7,0,107.56918843951684,107.56918843951684
2025-07-08,Munich,Edeka,Bakery,2.5,0,1,112.15195804987046,128.97475175735102,16.822793707480557,7,0,107.56918843951684,107.56918843951684
